,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result,
199,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Always,Always,Always,Always,Sometimes,False,
290,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Always,Always,Never,Always,Sometimes,Always,Never,Never,Always,Sometimes,Never,Sometimes,True,
203,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,False,
569,Sometimes,Always,Always,Always,Always,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,False,
225,Always,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,False,
853,Always,Never,Never,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Always,Sometimes,True,
183,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,False,
286,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,True,
625,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,False,
417,Never,Sometimes,Sometimes,Always,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,False,
336,Never,Always,Never,Never,Never,Always,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,True,
895,Sometimes,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Never,False,
379,Never,Sometimes,Never,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,False,
547,Sometimes,Sometimes,Never,Never,Never,Always,Never,Never,Never,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,False,
61,Never,Always,Never,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Always,Sometimes,Always,False,
718,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,Always,Never,Always,Never,Always,Sometimes,Always,Sometimes,Never,True,
330,Sometimes,Never,Always,Always,Always,Always,Never,Never,Always,Sometimes,Never,Never,Never,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,False,
925,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,False,
113,Always,Never,Never,Never,Never,Always,Always,Never,Sometimes,Always,Always,Always,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Never,False,
345,Sometimes,Never,Always,Never,Never,Never,Sometimes,Always,Always,Never,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,False,
756,Never,Never,Never,Sometimes,Always,Always,Never,Never,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,False,
651,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Never,Never,Never,Sometimes,Never,Never,Always,Always,Sometimes,Never,Never,False,
373,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Always,Always,Never,Never,Always,Never,Never,Sometimes,Never,Sometimes,Always,Always,Never,False,
679,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Never,Always,Never,False,
200,Never,Sometimes,Sometimes,Always,Always,Always,Never,Always,Always,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,True,
4,Always,Never,Sometimes,Always,Sometimes,Always,Never,Never,Always,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,True,
509,Never,Always,Never,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,True,
533,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,False,
318,Always,Sometimes,Never,Always,Always,Always,Never,Sometimes,Never,Always,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Always,True,
329,Never,Never,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Never,Never,False,
75,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Never,Always,Sometimes,Never,Always,Never,Never,Always,Sometimes,Sometimes,False,
564,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,True,
769,Always,Always,Never,Always,Always,Never,Never,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,False,
601,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Always,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,False,
224,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,True,
289,Never,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Sometimes,False,
189,Never,Always,Sometimes,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Always,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,False,
192,Never,Always,Always,Sometimes,Sometimes,Always,Always,Never,Always,Never,Sometimes,Never,Always,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,False,
723,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Always,Always,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,False,
783,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Never,Never,Always,Sometimes,Never,Always,Sometimes,False,
688,Always,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,True,
996,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Always,Never,Never,Never,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,True,
502,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,Never,Never,Always,Never,Never,Never,Always,Never,False,
174,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Never,Always,Always,Always,Never,Always,Sometimes,Never,True,
968,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Never,Always,Always,Sometimes,Never,Never,True,
272,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Always,Always,Never,Sometimes,Never,Always,Never,Never,Always,Never,False,
713,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,False,
180,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,True,
371,Sometimes,Always,Always,Always,Never,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,False,
931,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,False,
266,Always,Always,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,True,
201,Always,Always,Never,Always,Always,Sometimes,Never,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,False,
105,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Always,Always,Sometimes,Always,Always,Never,Sometimes,Never,False,
310,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Never,Always,Never,Sometimes,Always,Never,Never,True,
236,Never,Always,Never,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,Never,Always,Always,Always,True,
540,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Never,Always,Never,Never,Never,Sometimes,Sometimes,Always,True,
341,Sometimes,Sometimes,Always,Never,Never,Never,Always,Sometimes,Always,Never,Never,Never,Never,Always,Never,Never,Sometimes,Always,Sometimes,Always,True,
711,Never,Always,Never,Never,Never,Sometimes,Never,Always,Always,Never,Always,Sometimes,Sometimes,Always,Always,Never,Always,Never,Never,Never,False,
558,Sometimes,Always,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always,Always,Never,Never,Sometimes,Sometimes,True,
488,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,Never,Never,True,
323,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Always,False,
680,Always,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Never,Always,Never,Always,Never,True,
961,Sometimes,Sometimes,Always,Always,Always,Never,Never,Always,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Always,False,
358,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Always,Sometimes,True,
461,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Always,Always,Always,False,
58,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,True,
594,Sometimes,Never,Never,Always,Never,Sometimes,Always,Never,Sometimes,Always,Never,Always,Always,Never,Sometimes,Always,Never,Never,Sometimes,Always,True,
212,Never,Always,Always,Never,Always,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never,Always,Sometimes,Always,Sometimes,Never,Always,True,
11,Never,Never,Never,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Always,Always,Never,Sometimes,Sometimes,False,
929,Sometimes,Always,Always,Always,Never,Never,Always,Always,Sometimes,Always,Always,Always,Always,Never,Always,Always,Never,Never,Always,Always,False,
448,Never,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Never,Never,Never,Sometimes,True,
316,Sometimes,Never,Never,Always,Never,Sometimes,Always,Never,Sometimes,Always,Never,Never,Always,Sometimes,Always,Sometimes,Never,Always,Always,Always,False,
810,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Always,Never,Never,Never,Always,Never,Always,True,
124,Always,Never,Always,Never,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,True,
153,Never,Always,Sometimes,Never,Sometimes,Always,Never,Always,Sometimes,Always,Never,Always,Always,Always,Sometimes,Sometimes,Never,Never,Never,Always,False,
926,Never,Always,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,True,
139,Sometimes,Always,Always,Never,Always,Always,Sometimes,Never,Always,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,False,
497,Never,Never,Always,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Always,False,
269,Sometimes,Always,Sometimes,Never,Always,Never,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Sometimes,Never,False,
169,Always,Never,Always,Never,Always,Always,Sometimes,Never,Always,Never,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,False,
917,Never,Never,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Always,False,
856,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,True,
844,Always,Always,Never,Always,Never,Always,Always,Always,Never,Never,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,True,
746,Never,Never,Never,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Always,Always,Sometimes,Always,Never,Always,Sometimes,True,
498,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Always,Always,True,
27,Never,Sometimes,Never,Always,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Always,Always,Never,Never,Sometimes,False,
267,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,Always,False,
186,Sometimes,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Never,Always,True,
902,Never,Never,Always,Never,Always,Sometimes,Never,Never,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,True,
484,Always,Never,Always,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,True,
19,Always,Always,Never,Never,Always,Never,Always,Sometimes,Always,Always,Never,Always,Always,Never,Always,Never,Never,Never,Sometimes,Always,False,
74,Never,Never,Always,Never,Always,Always,Always,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Never,True,
906,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,True,
614,Always,Never,Never,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Always,Never,Always,Never,Sometimes,Never,True,
389,Always,Sometimes,Never,Never,Always,Never,Sometimes,Never,Always,Always,Always,Always,Never,Always,Always,Never,Always,Never,Always,Sometimes,False,
265,Always,Always,Never,Sometimes,Always,Never,Never,Always,Always,Never,Never,Always,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Never,False,
255,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Never,Never,Sometimes,False,
423,Never,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Never,Sometimes,False,
520,Never,Always,Always,Sometimes,Always,Always,Always,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Always,Never,Never,Always,Sometimes,True,
644,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Never,Always,Never,Always,Never,Never,Never,True,
77,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,False,
850,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Always,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,True,
780,Never,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,True,
197,Always,Never,Never,Never,Always,Never,Never,Never,Never,Never,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,False,
270,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Always,True,
7,Never,Never,Always,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Always,Never,Never,Always,False,
761,Sometimes,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,False,
342,Never,Sometimes,Never,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Sometimes,Never,Always,Always,Always,True,
179,Always,Never,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Always,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Always,False,
297,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Never,Never,Never,Never,Sometimes,Always,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,False,
656,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,True,
13,Always,Always,Never,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,False,
879,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Never,Never,Never,Never,False,
649,Sometimes,Always,Sometimes,Never,Never,Never,Never,Sometimes,Never,Always,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,True,
216,Never,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,True,
765,Sometimes,Never,Never,Always,Sometimes,Never,Never,Never,Sometimes,Always,Always,Never,Sometimes,Always,Never,Always,Always,Sometimes,Always,Sometimes,False,
418,Never,Always,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,True,
574,Always,Always,Never,Never,Never,Sometimes,Never,Never,Never,Always,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Never,True,
104,Always,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,False,
622,Always,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Sometimes,Never,True,
125,Never,Always,Never,Never,Sometimes,Always,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,False,
369,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Always,Always,False,
704,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,True,
451,Sometimes,Never,Never,Always,Always,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Never,Never,Always,Never,Sometimes,Always,Sometimes,Always,True,
503,Never,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,False,
921,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,False,
476,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Never,Always,Never,Sometimes,Sometimes,True,
56,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,True,
868,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Never,True,
163,Sometimes,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Never,Always,Never,Always,Never,Never,False,
294,Never,Never,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,True,
689,Never,Always,Sometimes,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Always,Never,Always,Sometimes,Never,Never,True,
375,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,False,
796,Sometimes,Always,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Always,Always,Sometimes,Never,Always,Always,Always,Sometimes,Always,Sometimes,True,
214,Never,Always,Never,Always,Always,Always,Sometimes,Never,Always,Never,Always,Always,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,True,
544,Never,Always,Sometimes,Always,Never,Always,Always,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Always,Sometimes,Never,True,
822,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always,Always,Never,Always,Never,Never,True,
529,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,False,
226,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Always,Always,Never,Never,Never,True,
508,Always,Never,Never,Sometimes,Always,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Never,Always,True,
876,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Never,True,
966,Always,Always,Always,Always,Never,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,True,
893,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,False,
613,Never,Sometimes,Never,Always,Never,Never,Never,Always,Never,Always,Never,Sometimes,Never,Always,Never,Never,Always,Sometimes,Never,Always,False,
790,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Never,Never,Sometimes,Never,True,
67,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Never,Always,Never,False,
725,Never,Always,Always,Always,Never,Never,Never,Sometimes,Never,Always,Never,Always,Always,Always,Sometimes,Never,Sometimes,Always,Always,Always,False,
802,Never,Always,Never,Always,Sometimes,Always,Always,Never,Never,Sometimes,Never,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,True,
911,Always,Never,Never,Always,Sometimes,Never,Never,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,False,
354,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Never,Always,True,
160,Always,Never,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Always,Always,Sometimes,Never,True,
