ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
39,Always,Never,Never,Sometimes,Always,Never,Always,Never,Never,Always,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,Always,Always,False
40,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,True
41,Always,Always,Always,Always,Sometimes,Never,Never,Always,Always,Never,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,False
42,Never,Never,Always,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Never,Always,Sometimes,Sometimes,True
43,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Never,Always,Never,Never,False
44,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Always,Always,Always,Never,Never,Never,Sometimes,Sometimes,Always,Always,Never,True
45,Always,Sometimes,Always,Never,Always,Never,Always,Sometimes,Always,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Always,Never,Always,Always,False
46,Always,Always,Always,Always,Never,Always,Never,Never,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,True
47,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Always,False
48,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Always,Sometimes,Always,Always,Sometimes,Always,True
49,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Always,Sometimes,Sometimes,False
50,Never,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Sometimes,Never,Always,Never,Always,Never,Always,Always,True
51,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Never,Sometimes,Always,Never,Never,False
52,Never,Never,Always,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Always,Sometimes,True
53,Never,Never,Sometimes,Never,Never,Never,Sometimes,Always,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,False
54,Never,Never,Always,Always,Never,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,Never,True
55,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,False
56,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Never,True
57,Never,Never,Sometimes,Never,Never,Sometimes,Always,Always,Always,Never,Always,Sometimes,Always,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,False
58,Always,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
59,Always,Sometimes,Always,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Sometimes,Never,Never,Never,False
60,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,True
61,Never,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,False
62,Never,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Never,Never,Always,Sometimes,Sometimes,Never,True
63,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,False
64,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
65,Always,Never,Sometimes,Never,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,False
66,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Never,Never,Always,Sometimes,Never,Never,True
67,Never,Never,Never,Always,Never,Never,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,False
68,Never,Always,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Sometimes,Never,True
69,Never,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,False
70,Never,Never,Never,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Always,Never,Never,Sometimes,True
71,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,False
72,Never,Always,Sometimes,Never,Always,Sometimes,Always,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,True
73,Always,Sometimes,Always,Always,Always,Never,Never,Never,Sometimes,Always,Never,Always,Sometimes,Never,Always,Never,Always,Always,Never,Never,False
74,Always,Sometimes,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Always,Never,Sometimes,True
75,Always,Never,Always,Always,Always,Sometimes,Never,Always,Always,Never,Sometimes,Always,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,False
76,Never,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Always,Never,Never,Never,True
77,Never,Never,Sometimes,Never,Always,Never,Never,Always,Never,Never,Sometimes,Always,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,False
78,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Always,True
79,Sometimes,Always,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Never,False
80,Sometimes,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Always,Always,Never,Always,Sometimes,Always,Never,True
81,Sometimes,Never,Never,Always,Always,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Always,Sometimes,Always,Never,Sometimes,Never,Never,False
82,Always,Never,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Always,Never,Sometimes,Always,True
83,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,False
84,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Never,Always,Sometimes,True
85,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Always,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,False
86,Sometimes,Always,Never,Always,Never,Always,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
87,Always,Never,Never,Always,Sometimes,Never,Always,Always,Never,Always,Never,Never,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,False
88,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Never,Always,Always,Sometimes,Never,Sometimes,Never,True
89,Never,Sometimes,Sometimes,Never,Always,Never,Never,Never,Always,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,False
90,Never,Never,Always,Sometimes,Always,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Always,Always,True
91,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,False
92,Never,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Never,Never,Never,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,True
93,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Never,Never,Never,Never,Never,False
94,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Always,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,True
95,Sometimes,Always,Always,Always,Sometimes,Never,Always,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,Never,False
96,Never,Never,Sometimes,Always,Never,Always,Always,Always,Sometimes,Never,Never,Always,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,True
97,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,False
98,Never,Never,Never,Always,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Always,Always,Never,Always,True
99,Never,Sometimes,Never,Always,Always,Never,Sometimes,Always,Never,Never,Always,Always,Sometimes,Always,Always,Sometimes,Never,Always,Sometimes,Never,False
100,Always,Never,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Never,Always,Never,Never,Never,Never,Never,Sometimes,Never,True
101,Always,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,False
102,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Never,Never,Always,Always,Sometimes,Always,Never,Never,Always,Sometimes,True
103,Never,Always,Always,Always,Always,Never,Never,Always,Always,Sometimes,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Never,Always,False
104,Never,Sometimes,Never,Sometimes,Never,Always,Never,Never,Never,Never,Always,Never,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,True
105,Sometimes,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Never,Always,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,False
106,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Never,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,True
107,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Sometimes,Never,Never,Always,Never,Always,Sometimes,Always,False
108,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,True
109,Never,Never,Sometimes,Never,Never,Sometimes,Never,Always,Never,Never,Never,Never,Always,Never,Never,Sometimes,Always,Never,Sometimes,Always,False
110,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,True
111,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Always,Never,Always,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,False
112,Never,Always,Sometimes,Always,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Never,Never,Sometimes,True
113,Always,Sometimes,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,False
114,Never,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Always,Always,Always,Never,Always,Always,Sometimes,Always,Sometimes,True
115,Always,Never,Sometimes,Always,Sometimes,Never,Always,Sometimes,Never,Always,Always,Always,Never,Always,Always,Always,Always,Sometimes,Sometimes,Always,False
116,Always,Always,Always,Sometimes,Never,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Never,Always,Never,Never,Always,Never,Sometimes,True
117,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Always,Sometimes,Always,Always,Never,Always,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,False
118,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Always,Sometimes,Never,Always,Never,Always,Never,Sometimes,Never,True
119,Always,Always,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Always,Always,False
120,Always,Never,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,True
121,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,Always,Never,Never,Never,Always,Never,Sometimes,Never,Always,Sometimes,Always,False
122,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Never,Always,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,True
123,Always,Sometimes,Never,Always,Never,Never,Always,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Never,Always,Never,False
124,Always,Always,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Always,Never,Never,Always,Sometimes,Sometimes,True
125,Sometimes,Never,Never,Never,Always,Always,Sometimes,Always,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always,False
126,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,True
127,Always,Always,Never,Never,Always,Never,Always,Sometimes,Always,Always,Always,Always,Sometimes,Never,Sometimes,Never,Always,Sometimes,Never,Always,False
128,Never,Never,Sometimes,Always,Always,Always,Never,Never,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,True
129,Never,Always,Sometimes,Always,Sometimes,Never,Always,Always,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,False
130,Never,Sometimes,Never,Always,Always,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Always,Sometimes,Always,True
131,Sometimes,Always,Never,Never,Always,Never,Never,Sometimes,Never,Always,Sometimes,Never,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,False
132,Always,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Never,Sometimes,Always,Always,Always,Never,Never,Always,Always,True
133,Never,Sometimes,Always,Always,Never,Never,Sometimes,Never,Never,Always,Never,Never,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,False
134,Always,Never,Never,Never,Always,Always,Never,Sometimes,Always,Never,Always,Always,Never,Never,Always,Sometimes,Never,Never,Never,Sometimes,True
135,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Never,Never,Never,Never,Never,False
136,Never,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,True
137,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Never,False
138,Sometimes,Always,Always,Never,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Never,Always,Never,Never,Always,Always,True
139,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Never,Never,Sometimes,Always,Sometimes,Never,Always,False
140,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Sometimes,Never,True
141,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Always,Always,Always,Never,Always,Always,Always,Never,Never,Always,Always,Never,False
142,Never,Always,Always,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always,True
143,Never,Never,Always,Always,Always,Never,Never,Never,Never,Never,Sometimes,Always,Never,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,False
144,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,True
145,Never,Never,Never,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Sometimes,Sometimes,False
146,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,True
147,Never,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Never,Never,Always,Always,Always,Never,Always,Never,Never,Never,Always,Always,False
148,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,True
149,Always,Sometimes,Always,Always,Sometimes,Never,Always,Always,Never,Never,Never,Always,Never,Never,Sometimes,Never,Never,Never,Always,Never,False
150,Always,Always,Always,Sometimes,Always,Always,Never,Never,Sometimes,Never,Always,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,True
151,Always,Never,Sometimes,Never,Sometimes,Always,Never,Never,Always,Never,Sometimes,Never,Always,Always,Sometimes,Never,Never,Never,Always,Sometimes,False
152,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Never,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,Always,Always,True
153,Always,Never,Always,Always,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,False
154,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Never,Never,Always,Always,Never,Never,Never,Sometimes,True
155,Always,Always,Always,Always,Never,Sometimes,Always,Always,Sometimes,Always,Always,Never,Always,Always,Always,Never,Sometimes,Never,Always,Always,False
156,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Always,Always,Never,Sometimes,Never,Sometimes,True
157,Never,Never,Never,Always,Never,Sometimes,Sometimes,Always,Always,Always,Always,Never,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Always,False
158,Never,Always,Always,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Never,Always,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,True
159,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,False
160,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Always,Always,Never,True
161,Sometimes,Sometimes,Always,Never,Never,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Never,Always,Sometimes,False
162,Sometimes,Sometimes,Always,Always,Always,Always,Never,Always,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Never,Never,True
163,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Never,Never,Always,Always,Always,Always,Always,Always,Never,Never,Always,Sometimes,Sometimes,False
164,Always,Always,Never,Always,Sometimes,Always,Never,Never,Sometimes,Never,Never,Never,Sometimes,Always,Never,Always,Always,Always,Never,Never,True
