ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
18,Always,Never,Always,Always,Never,Always,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,True
19,Always,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Always,Always,Always,Never,Never,Never,Sometimes,False
20,Never,Always,Always,Always,Never,Sometimes,Never,Always,Never,Always,Always,Never,Always,Never,Never,Sometimes,Sometimes,Always,Never,Always,True
21,Always,Sometimes,Never,Always,Never,Always,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Always,Sometimes,Always,Always,False
22,Sometimes,Never,Always,Sometimes,Never,Always,Never,Never,Never,Always,Never,Never,Never,Sometimes,Always,Always,Never,Never,Sometimes,Never,True
23,Never,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Never,Sometimes,Never,False
24,Always,Always,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,True
25,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Never,False
26,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Always,Never,Always,Sometimes,Never,Sometimes,Never,True
27,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Always,False
28,Always,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Always,True
29,Sometimes,Never,Never,Never,Always,Never,Always,Always,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Always,Sometimes,False
30,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Always,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,True
31,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Always,Sometimes,Always,False
32,Never,Never,Always,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,True
33,Always,Never,Sometimes,Never,Always,Sometimes,Always,Always,Always,Never,Always,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,False
34,Never,Always,Sometimes,Always,Always,Never,Sometimes,Always,Always,Always,Never,Never,Sometimes,Sometimes,Never,Never,Always,Always,Sometimes,Never,True
35,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,Never,Never,False
36,Never,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Always,Never,Never,True
37,Always,Never,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Always,False
38,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,True
39,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Never,Sometimes,Sometimes,Never,Never,Never,Always,Always,False
40,Always,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,True
41,Always,Sometimes,Always,Never,Never,Never,Never,Never,Never,Sometimes,Always,Never,Sometimes,Always,Never,Never,Never,Sometimes,Always,Sometimes,False
42,Never,Never,Always,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Never,Always,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,True
43,Always,Always,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Never,Never,Always,False
44,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Never,Never,Never,Always,Never,Always,Always,Sometimes,True
45,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,False
46,Always,Never,Never,Sometimes,Sometimes,Never,Never,Never,Always,Never,Always,Never,Never,Never,Always,Sometimes,Never,Never,Always,Always,True
47,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Always,Always,Never,Always,Never,Always,Never,False
48,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Always,Sometimes,Always,Never,Never,Always,Sometimes,Never,Always,Never,Always,Never,True
49,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,False
50,Never,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,Always,Always,Never,Always,Never,Never,Always,Sometimes,Always,True
51,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,Never,Never,Always,Always,Always,Never,False
52,Never,Sometimes,Sometimes,Always,Always,Always,Never,Always,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,True
53,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,Never,Never,Never,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Always,False
54,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always,Never,Never,Always,True
55,Always,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Never,False
56,Always,Always,Never,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Never,Never,Always,Sometimes,Always,Never,True
57,Sometimes,Never,Sometimes,Never,Always,Never,Never,Sometimes,Always,Always,Always,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always,Never,False
58,Never,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,True
59,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,False
60,Sometimes,Never,Always,Always,Always,Always,Never,Always,Always,Never,Always,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,True
61,Never,Sometimes,Always,Always,Sometimes,Always,Always,Never,Never,Never,Always,Never,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Sometimes,False
62,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,True
63,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,False
64,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,True
65,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Never,Sometimes,Always,Always,Always,Sometimes,Never,Never,Never,False
66,Sometimes,Never,Always,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Never,Always,True
67,Never,Always,Never,Sometimes,Always,Never,Sometimes,Always,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Sometimes,Always,False
68,Always,Never,Sometimes,Always,Always,Always,Never,Always,Always,Always,Never,Always,Never,Sometimes,Never,Never,Never,Never,Never,Always,True
69,Never,Always,Always,Always,Always,Never,Always,Never,Sometimes,Always,Always,Always,Never,Always,Never,Always,Never,Always,Always,Always,False
70,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Never,Always,Always,Never,Always,Always,Never,Sometimes,Always,Always,Always,Sometimes,Never,True
71,Always,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,False
72,Never,Sometimes,Always,Always,Always,Always,Sometimes,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Never,Never,Sometimes,Always,Always,True
73,Always,Always,Never,Always,Always,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Always,Never,Always,Always,Never,Always,False
74,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Never,Always,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Always,Always,Always,True
75,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,False
76,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,True
77,Sometimes,Always,Never,Sometimes,Never,Never,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,False
78,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Never,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,True
79,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Never,Always,Never,Never,False
80,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Never,Sometimes,Always,Never,Always,Always,Always,Never,Always,Never,Always,Always,True
81,Sometimes,Always,Never,Sometimes,Always,Always,Never,Never,Always,Always,Always,Never,Sometimes,Never,Always,Never,Never,Always,Always,Always,False
82,Always,Always,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,True
83,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,False
84,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,True
85,Always,Always,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Always,False
86,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Always,Never,Always,Never,Never,Sometimes,Always,Never,True
87,Always,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Always,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,False
88,Sometimes,Always,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Always,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,True
89,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Always,False
90,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,True
91,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Always,Never,Never,Never,Never,False
92,Never,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Always,True
93,Never,Never,Never,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Always,Always,Never,Sometimes,False
94,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Never,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Always,True
95,Never,Always,Sometimes,Never,Always,Sometimes,Always,Never,Always,Always,Never,Never,Sometimes,Never,Never,Never,Never,Always,Always,Never,False
96,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,True
97,Never,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Always,Sometimes,Never,Always,False
98,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Never,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,True
99,Never,Always,Never,Never,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Sometimes,Sometimes,False
100,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Never,Always,Never,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Never,True
101,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,False
102,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,True
103,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Always,Sometimes,Always,Always,Always,Sometimes,Always,False
104,Always,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,Never,Always,Sometimes,True
105,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,False
106,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,True
107,Always,Never,Always,Always,Never,Sometimes,Never,Always,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Never,False
108,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Never,True
109,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,Always,Never,Never,Sometimes,False
110,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Always,Sometimes,Always,Always,True
111,Never,Sometimes,Never,Never,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,False
112,Never,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Always,True
113,Sometimes,Always,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Never,False
114,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,True
115,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Always,Never,Always,Never,Always,Sometimes,Never,Always,Never,Sometimes,Never,False
116,Never,Always,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Never,Never,Always,Always,Always,Never,Always,Always,Always,Always,Always,True
117,Never,Always,Always,Never,Sometimes,Never,Always,Sometimes,Always,Never,Always,Never,Never,Always,Sometimes,Always,Sometimes,Always,Never,Always,False
118,Always,Always,Sometimes,Never,Never,Never,Always,Sometimes,Always,Always,Never,Sometimes,Always,Never,Never,Never,Always,Never,Sometimes,Never,True
119,Never,Sometimes,Never,Never,Never,Sometimes,Always,Always,Always,Never,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,False
120,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Never,Sometimes,Sometimes,Always,Always,Always,True
121,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Always,Always,Never,Always,Never,Sometimes,Sometimes,Always,Never,Never,Never,Never,Never,False
122,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,Always,True
123,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Never,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,False
124,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Never,Never,Sometimes,Never,Never,Always,Never,Always,True
125,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Always,Never,Sometimes,Always,Always,Always,Always,False
126,Never,Never,Always,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,Always,Sometimes,Never,Always,True
127,Sometimes,Always,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Never,False
128,Never,Always,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,True
129,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Always,Never,Always,Never,Never,Never,Never,Sometimes,Sometimes,False
130,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Always,Never,Never,Always,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,True
131,Never,Always,Never,Never,Always,Sometimes,Always,Always,Always,Always,Always,Never,Always,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,False
132,Always,Always,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Never,Always,Never,Never,Sometimes,Never,Never,Always,Never,Never,Always,True
133,Always,Never,Always,Never,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,False
134,Never,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Always,Never,Always,Never,Never,Never,Never,Always,True
135,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Always,Never,Always,False
136,Never,Sometimes,Always,Never,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,True
137,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Never,Sometimes,False
138,Always,Sometimes,Never,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Never,Never,Sometimes,Never,Always,Sometimes,Always,Always,True
139,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Always,Always,Always,False
140,Sometimes,Never,Never,Always,Never,Always,Always,Never,Never,Sometimes,Always,Always,Never,Never,Never,Never,Never,Sometimes,Always,Never,True
141,Sometimes,Always,Always,Always,Never,Never,Sometimes,Never,Always,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Always,Always,False
142,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Sometimes,Always,Always,True
143,Never,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,False
144,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Always,Never,Always,Sometimes,True
145,Always,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,Always,False
146,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Always,Always,Always,Always,Never,Never,True
147,Sometimes,Never,Always,Never,Always,Always,Always,Always,Never,Always,Always,Sometimes,Never,Always,Always,Always,Never,Always,Always,Always,False
148,Always,Sometimes,Never,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Always,Never,Sometimes,True
149,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,False
150,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,True
151,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,False
152,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,Never,Always,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,True
153,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Always,Always,Never,Always,Sometimes,Always,Never,Sometimes,Never,Never,Sometimes,Never,False
154,Always,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,True
155,Always,Never,Sometimes,Never,Always,Always,Never,Sometimes,Never,Never,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Always,Never,Always,False
156,Always,Never,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Always,Never,Never,Always,True
157,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,False
158,Always,Never,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Always,Always,Always,Never,True
159,Never,Never,Always,Never,Never,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,False
160,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,True
161,Always,Sometimes,Always,Always,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Always,Always,Always,False
162,Always,Sometimes,Always,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,Always,Sometimes,Always,True
163,Never,Never,Never,Sometimes,Never,Never,Always,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,False
